"Tweet Id","Tweet URL","Tweet Posted Time","Tweet Content","Tweet Type",Client,"Retweets Received","Likes Received","Tweet Location","Tweet Language","User  Id",Name,Username,"User Bio","Verified or Non-Verified","Profile URL","User Followers","User Following","User Account Creation Date"
"""1453842644287754242""",https://twitter.com/waterbot_h2o/status/1453842644287754242,"28 Oct 2021 21:54:32","""Did you miss out on the first-ever #coastal #wetlands twitter conference? 🌳🌊🌱🌍 #CWTC21

Don't worry - all the presentations are right here 👇

Catch-up on your own time and connect with some incredible #ecologists #managers #conservation practitioners https://t.co/X0vFIJYvJe""",ReTweet,"""waterbot2h0""",1,0,"""""",English,"""1272671774124068864""","""waterbot""",waterbot_h2o,"""Loves h2o. Retweets tweets about water. Beep.""",Non-Verified,https://twitter.com/waterbot_h2o,1185,232,"15-Jun-2020 23:26:18"
"""1453840455725060096""",https://twitter.com/ChristinABuelow/status/1453840455725060096,"28 Oct 2021 21:45:50","""Did you miss out on the first-ever #coastal #wetlands twitter conference? 🌳🌊🌱🌍 #CWTC21

Don't worry - all the presentations are right here 👇

Catch-up on your own time and connect with some incredible #ecologists #managers #conservation practitioners https://t.co/X0vFIJYvJe""",Tweet,"""Twitter Web App""",1,1,"""""",English,"""4569414259""","""Christina Buelow""",ChristinABuelow,"""Coastal ecologist navigating spaces where land meets sea | Research Fellow @globalwetlands | @GriffithARI | Views my own""",Non-Verified,https://twitter.com/ChristinABuelow,380,828,"15-Dec-2015 21:43:00"
"""1453836814201106450""",https://twitter.com/ma_macneil/status/1453836814201106450,"28 Oct 2021 21:31:22","""As host of Australia’s national platform for underwater #computervision, we automatically identify and count fish in coastal wetlands, accurately even at high numbers in #BRUVS. Learn more at:
https://t.co/w0FAULg8C8

Hear from @eco_ell
https://t.co/LhBAX3mLv8

#CWTC21 2/5 https://t.co/RZ9OfqGDYp""",ReTweet,"""Twitter Web App""",19,0,"""""",English,"""227678041""","""Aaron MacNeil""",ma_macneil,"""Turning fish into numbers""",Non-Verified,https://twitter.com/ma_macneil,1276,55,"17-Dec-2010 14:05:38"
"""1453832241252077570""",https://twitter.com/SENSIMILLIEA/status/1453832241252077570,"28 Oct 2021 21:13:11","""Mangrove forests sequester disproportionally large amounts of CO2 &amp; thus there is considerable interest in restoration to mitigate &amp; adapt to climate change. #Restoration can provide multiple ecosystem service benefits, such coastal protection &amp; supporting fisheries #CWTC21 1/5 https://t.co/PnhFp4IpDr""",ReTweet,"""Twitter for Android""",23,0,"""""",English,"""82210282""","""❀🧞‍♀️֎🅂🄴🄽🅂🄸֎🧜🏽‍♀️✿""",SENSIMILLIEA,"""Herb Naturalist🍃Make-up Artist💄Soap Aficionado🛁 #TweetRelay enthusiast🔁♥️ Canuck lover🍁Be like the proverbial flame on the torch of the Statue of Liberty🗽""",Non-Verified,https://twitter.com/SENSIMILLIEA,5402,5944,"13-Oct-2009 22:33:18"
"""1453821730846347268""",https://twitter.com/Hippiepig/status/1453821730846347268,"28 Oct 2021 20:31:25","""Coastal managed realignment is the deliberate process of realigning an estuary and/or coastal defences. It creates space for new intertidal habitats (saltmarshes and mudflats) that provide a variety of ecosystem services and are home to many coastal species #CWTC21 1/5 https://t.co/u2QvPsFDA8""",ReTweet,"""Twitter for Android""",25,0,"""""",English,"""27843595""","""An Elegant Goose""",Hippiepig,"""""",Non-Verified,https://twitter.com/Hippiepig,2747,4999,"31-Mar-2009 09:49:32"
"""1453808121563000843""",https://twitter.com/jordifpages/status/1453808121563000843,"28 Oct 2021 19:37:21","""Three great #CWTC21 presentations to check out on large scale #seagrass trends and status:
@jdunic @cbdelosantos @RLosciale 
https://t.co/0RE5q89kcK
https://t.co/EpoBoUwegk
https://t.co/GJPvfMRycO""",ReTweet,"""Twitter Web App""",4,0,"""""",English,"""394268933""","""Jordi F. Pagès""",jordifpages,"""Ecologist. Marie Skłodowska-Curie postdoctoral fellow @UniBarcelona, with links to @CEABCSIC & @irtacat. Previously @BangorUni @RESILCOAST. Views my own.""",Non-Verified,https://twitter.com/jordifpages,1828,4820,"19-Oct-2011 20:36:42"
"""1453780948747698177""",https://twitter.com/aquaculchie99/status/1453780948747698177,"28 Oct 2021 17:49:22","""As host of Australia’s national platform for underwater #computervision, we automatically identify and count fish in coastal wetlands, accurately even at high numbers in #BRUVS. Learn more at:
https://t.co/w0FAULg8C8

Hear from @eco_ell
https://t.co/LhBAX3mLv8

#CWTC21 2/5 https://t.co/RZ9OfqGDYp""",ReTweet,"""Twitter for iPhone""",19,0,"""""",English,"""735196279270084608""","""Patrick Collins""",aquaculchie99,"""lecturer in marine biology at Queen’s University Belfast.  Best described as a specialist generalist.""",Non-Verified,https://twitter.com/aquaculchie99,185,273,"24-May-2016 19:50:27"
"""1453716475517157381""",https://twitter.com/kemornandez/status/1453716475517157381,"28 Oct 2021 13:33:11","""As host of Australia’s national platform for underwater #computervision, we automatically identify and count fish in coastal wetlands, accurately even at high numbers in #BRUVS. Learn more at:
https://t.co/w0FAULg8C8

Hear from @eco_ell
https://t.co/LhBAX3mLv8

#CWTC21 2/5 https://t.co/RZ9OfqGDYp""",ReTweet,"""Twitter for iPhone""",19,0,"""""",English,"""392735692""","""kemo""",kemornandez,"""ޒުވާބު""",Non-Verified,https://twitter.com/kemornandez,1728,1667,"17-Oct-2011 14:02:21"
"""1453710977900363781""",https://twitter.com/DavidCurnick/status/1453710977900363781,"28 Oct 2021 13:11:20","""As host of Australia’s national platform for underwater #computervision, we automatically identify and count fish in coastal wetlands, accurately even at high numbers in #BRUVS. Learn more at:
https://t.co/w0FAULg8C8

Hear from @eco_ell
https://t.co/LhBAX3mLv8

#CWTC21 2/5 https://t.co/RZ9OfqGDYp""",ReTweet,"""Twitter for iPhone""",19,0,"""""",English,"""198775697""","""David Curnick""",DavidCurnick,"""Head of the new @OceanPredatorLb at @ZSLScience with a focus on sharks, tuna and fisheries. Also marine lead @Biome_Health and @ReefConsUK committee member""",Non-Verified,https://twitter.com/DavidCurnick,2503,1265,"05-Oct-2010 06:15:19"
"""1453693650500788230""",https://twitter.com/BD_Stew/status/1453693650500788230,"28 Oct 2021 12:02:29","""As host of Australia’s national platform for underwater #computervision, we automatically identify and count fish in coastal wetlands, accurately even at high numbers in #BRUVS. Learn more at:
https://t.co/w0FAULg8C8

Hear from @eco_ell
https://t.co/LhBAX3mLv8

#CWTC21 2/5 https://t.co/RZ9OfqGDYp""",ReTweet,"""Twitter Web App""",19,0,"""""",English,"""94588684""","""Bryce Stewart""",BD_Stew,"""Marine ecologist & fisheries biologist. Scallop & lobster wrangler. Cricket & BBQ lover. Searching for sustainable solutions to ocean management #BeMoreScallop""",Non-Verified,https://twitter.com/BD_Stew,10184,5825,"04-Dec-2009 16:19:23"
"""1453687635399032836""",https://twitter.com/RJLilley/status/1453687635399032836,"28 Oct 2021 11:38:35","""Seagrass ecosystem services #CWTC21 https://t.co/8SKpmYyJ2q via @YouTube""",ReTweet,"""Twitter Web App""",2,0,"""""",English,"""302102232""","""Dr Richard Lilley""",RJLilley,"""CEO @ProjectSeagrass | Trustee @SeabirdCentre | Education Committee @SCBMarine | Technical Partner @dugonghub |#GenerationRestoration | @BonnConvention @iki_bmu""",Non-Verified,https://twitter.com/RJLilley,9710,9274,"20-May-2011 16:10:15"
